Timestamp,Temperature_C,Chamber_Pressure_kPa,Relative_Humidity_Pct,Mobility_Index
2026-05-20 08:00:00,35.0,99.668,66.0,-8.57854
2026-05-20 08:00:50,35.1,99.666,64.7,-5.45964
2026-05-20 08:01:40,35.1,99.671,64.8,1372.51512
2026-05-20 08:02:30,35.0,99.666,64.7,1358.64513
2026-05-20 08:03:20,35.1,99.669,65.9,1724.04745
2026-05-20 08:04:10,35.1,99.661,65.6,-4.48011
2026-05-20 08:05:00,35.0,99.67,64.6,1834.56715
2026-05-20 08:05:50,35.0,99.669,63.9,-6.10997
2026-05-20 08:06:40,35.0,99.661,65.1,-6.02517
2026-05-20 08:07:30,35.0,99.668,63.1,1880.18872
2026-05-20 08:08:20,35.1,99.668,64.0,1696.29086
2026-05-20 08:09:10,35.0,99.677,66.0,1461.49866
2026-05-20 08:10:00,35.0,99.664,65.2,-5.53341
2026-05-20 08:10:50,35.0,99.663,64.3,1602.4136
2026-05-20 08:11:40,35.0,99.672,66.3,1929.24283
2026-05-20 08:12:30,35.0,99.669,65.6,1638.59394
2026-05-20 08:13:20,35.0,99.666,64.5,1682.97683
2026-05-20 08:14:10,35.1,99.676,64.3,-11.29933
2026-05-20 08:15:00,35.0,99.664,64.4,1759.08174
2026-05-20 08:15:50,35.0,99.665,64.1,1358.45099
2026-05-20 08:16:40,35.0,99.668,63.9,374.57397
2026-05-20 08:17:30,35.0,99.671,64.6,107.34419
2026-05-20 08:18:20,35.0,99.674,65.3,387.5604
2026-05-20 08:19:10,35.0,99.665,64.8,-12.17115
2026-05-20 08:20:00,35.0,99.658,66.6,-5.95174
2026-05-20 08:20:50,35.0,99.667,64.6,1914.56869
2026-05-20 08:21:40,35.1,99.663,65.4,314.59157
2026-05-20 08:22:30,35.1,99.662,65.1,-3.90365
2026-05-20 08:23:20,35.0,99.663,65.1,-11.39629
2026-05-20 08:24:10,35.0,99.669,64.2,1350.13709
2026-05-20 08:25:00,35.0,99.663,63.6,50.9943
